% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 25 2026, 01:49"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
65,-0.0017995341903146325,0.01598188297495916,1.2597350871188972E-19,-93875.15693944537,103732.36775205957,-506957.6551148731
66,-0.0016992246611962033,0.016153917029544627,5.562702546473942E-20,-78986.7148077254,-39778.00803148416,-338097.53669693886
67,-0.0014986056029593453,0.01649798513871556,5.735278451115415E-20,-73313.81722110552,-41628.40945395596,-344691.5391672088
68,-0.0013982960738409163,0.01667001919330103,6.504132048556566E-20,-106377.81066888526,13265.453694392014,-362364.9034295925
69,-0.0012979865447224868,0.0168420532478865,2.4206880674189477E-20,-58878.43557633072,27035.999847823856,-221245.3217349844
70,-0.0011976770156040578,0.01701408730247196,1.2672088144649885E-20,-19547.510899987854,-36452.161657638266,-161589.54784247986
71,-0.0010973674864856288,0.017186121357057434,5.240083518386501E-20,-8432.052434183917,-18618.79708072712,-338570.7698971088
72,-9.970579573672E-4,0.017358155411642897,1.0064432659247619E-19,-10443.971082759872,-59641.77036984396,-466156.4541429756
73,-8.967484282487708E-4,0.017530189466228363,1.8733430500245838E-19,179642.09302750268,69902.91933564056,-611670.2649309045
74,-7.964388991303418E-4,0.017702223520813833,4.245655537336024E-20,40644.613893794514,-23330.389914502124,-301692.93210393784
75,-6.961293700119121E-4,0.0178742575753993,2.0668756037209157E-20,-4691.6908242717245,22400.93321828739,-211790.49233582264
76,-0.0019219349974035807,0.016021470489989323,1.7300028773092263E-19,-22677.05178494173,-125364.46613083998,-602990.0826969964
77,-0.001721517317010561,0.016367583222721034,1.428684653427951E-19,-16152.647002094613,-146067.96240438172,-540440.1870341762
78,-0.0016213084768140513,0.016540639589086897,1.7715599582892947E-20,-37863.94420482348,-22339.632227754497,-192256.40611520968
79,-0.0015210996366175416,0.016713695955452752,7.042922568878309E-20,-20889.961743427575,69190.36007371356,-386530.9302366969
80,-0.0014208907964210315,0.016886752321818615,5.211515741475959E-20,-50432.21527212121,-48945.194623602,-330880.1440096124
81,-0.0013206819562245216,0.01705980868818447,9.45856470422986E-20,22310.866997945745,65647.84313877318,-450398.2993679805
82,-0.0012204731160280118,0.017232865054550326,1.4809624371005523E-19,-102954.28276746035,98272.64713571288,-552171.1526619507
83,-0.0011202642758315017,0.017405921420916185,5.790448090907899E-20,-100066.06159817419,21438.927739391132,-341553.10143533285
84,-0.0010200554356349918,0.017578977787282044,1.2214851704722585E-19,38453.81110383621,-53469.4506066658,-513656.9462020013
85,-9.19846595438482E-4,0.017752034153647907,4.0725769586929436E-20,-65059.82317004347,-8205.26878658359,-291744.4248922952
86,-8.196377552419721E-4,0.017925090520013762,1.0441163719315002E-19,-58091.733194215754,76984.74962310365,-468975.4782623762
87,-0.0019330309808497997,0.01612779243068733,3.666811105162539E-20,8920.860050132474,48595.80995420575,-279401.2352829139
88,-0.001732713989378699,0.016474927475199436,1.4769625113443467E-19,40607.89997579059,79436.09730703135,-562416.9183294311
89,-0.001632555493643149,0.01664849499745549,1.3935282213713497E-19,-142116.15533725766,-50504.37500410565,-532170.9977163302
90,-0.0015323969979075985,0.016822062519711547,5.056005451055944E-20,-10885.998517526248,-85550.90368910009,-321821.32710104226
91,-0.0014322385021720485,0.0169956300419676,5.974460369064104E-20,31364.838179819097,98248.6504342375,-347181.31598883116
92,-0.001332080006436498,0.01716919756422365,8.899932157903674E-20,-60395.58519048635,38228.20919813312,-436224.7926887521
93,-0.0012319215107009479,0.017342765086479705,3.418379416639355E-20,50319.52893573188,6891.447080862694,-269206.6718775883
94,-0.0011317630149653979,0.01751633260873576,1.8114038353288575E-19,-175518.65563201098,-19368.913435479877,-605406.7723577421
95,-0.0010316045192298477,0.017689900130991816,7.023255347811452E-20,-51879.325218074075,-88569.30502813956,-379027.79586458195
96,-9.314460234942973E-4,0.017863467653247866,7.641526550510549E-20,60163.35809506391,-51352.81273433089,-401890.10837697936
97,-0.0020553814434777877,0.01616686878982729,6.545124547906219E-21,-988.5798621332406,-7774.264882478499,-119618.78115575733
98,-0.001955323636664157,0.016341458623863738,1.6673660908197945E-19,162462.80874008845,24097.980664555605,-582323.4503341173
99,-0.0017552080230368947,0.01669063829193663,5.804716686017054E-20,-69933.6269952615,36593.18995571606,-348159.2501697965
100,-0.0016551502162232637,0.016865228125973075,1.821235943211726E-19,31787.70556721871,54338.56063984682,-629201.7469448975
101,-0.0015550924094096333,0.017039817960009522,9.234747601576146E-20,92861.32527525697,-63172.01066418477,-436048.3233974771
102,-0.001455034602596002,0.017214407794045962,6.027012544285579E-20,36571.464381668215,45412.111141984315,-359061.95185632736
103,-0.001354976795782371,0.017388997628082405,4.8831989741710184E-20,-45807.924517631174,-26065.24333380815,-323163.4887997565
104,-0.00125491898896874,0.017563587462118852,6.609458232412941E-20,-14937.992612244245,-44091.25375621385,-378081.7674239882
105,-0.001154861182155109,0.017738177296155292,5.854854110446522E-20,-58852.73043715099,39832.966421419944,-351418.7132916184
106,-0.0010548033753414784,0.017912767130191742,7.04060409162467E-20,-78226.82728346848,4241.76012476409,-385281.0980237564
107,-0.002066527771384967,0.0162737018864155,5.560767352951404E-20,46725.89333126162,-80772.96699654227,-336721.05105073645
108,-0.001966520309032295,0.016448802876342143,2.818028786740748E-20,-39040.0406989187,45588.455444436564,-241388.55554733225
109,-0.0018665128466796234,0.01662390386626878,7.055248554030362E-20,-29433.386422219395,14063.35160077126,-392219.80495404254
110,-0.0016664979219742813,0.016974105846122065,1.1502619110730214E-19,-97847.18509017024,-93325.78380328011,-484004.2270302658
