% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 11 2026, 11:47"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
69,-0.14249998483826828,-0.037916430687288394,1.008619767023076E-20,-23351.663171829547,-10722.695937488801,146575.413665293
70,-0.1418999996967654,-0.049758328613745774,5.2800360040804075E-21,-7741.407530391142,14436.16224077161,106415.16580891341
71,-0.14189999878706147,-0.049033314454983074,2.1833669094452377E-20,-3323.802796972481,7339.281900370834,218796.07591361954
72,-0.14189999787735755,-0.04830830029622037,4.1935090982315E-20,-4121.096301299183,23534.101858997874,302488.32437515707
73,-0.14189999696765368,-0.04758328613745768,7.805580412970085E-20,71315.89927475012,-27750.67619362633,406839.2775793155
74,-0.14189999605794978,-0.04685827197869499,1.7690223380672863E-20,16046.914845268193,9211.079756919002,196207.0367987118
75,-0.14189999514824586,-0.04613325781993229,8.611979777291302E-21,-1850.5571486231363,-8835.664722081514,137209.45353860708
76,-0.14189999423854194,-0.04540824366116959,7.208331993739871E-20,-8966.990983344145,49571.78949397029,394618.4294662727
77,-0.14189999332883807,-0.0446832295024069,5.952843633246685E-20,-6400.845343068614,57882.676245346425,356798.87736571726
78,-0.14189999241913415,-0.043958215343644205,7.381498432967316E-21,-14980.717406321666,8838.585741485262,126110.3371895543
79,-0.14189999150943025,-0.0432332011848815,2.9345488608635406E-20,-8254.34964640201,-27339.515084970037,252217.21488532043
80,-0.14189998969002246,-0.04178317286735611,2.171463683103178E-20,-19942.68067292048,19354.660143038047,216570.96411819104
81,-0.14189998878031854,-0.04105815870859342,3.941064643177295E-20,8808.271364389053,-25917.595085229164,292879.17336470896
82,-0.14189998787061464,-0.04033314454983071,6.170667054023658E-20,-40775.74481856305,-38921.551144223136,363732.9394198988
83,-0.14189998696091072,-0.03960813039106802,2.4126852118648397E-20,-39698.354418345814,-8505.282791735093,226546.02859862207
84,-0.14189998605120682,-0.03888311623230532,5.0895149001714817E-20,15173.021924517388,21097.86060362438,333266.8596378268
85,-0.1418999851415029,-0.03815810207354263,1.696906326341502E-20,-25737.29115903433,3245.9570516582003,191267.5372551787
86,-0.14189998423179903,-0.037433087914779936,4.350480029541707E-20,-22966.687424511387,-30436.08072661434,306696.18746438844
87,-0.14159999939353074,-0.04951665722749154,1.527837362520252E-20,3523.9590682443268,-19196.539818406665,182107.98506463497
88,-0.14159999848382684,-0.048791643068728845,6.154000749706905E-20,16033.681108599612,-31364.661888252016,365885.8626962638
89,-0.14159999757412295,-0.04806662890996615,5.806358942181472E-20,-56342.53551369067,20022.66762362644,352001.85359850904
90,-0.14159999575471513,-0.04661660059244075,2.106667799341739E-20,-4313.154671265408,33896.22727612404,212332.57188367486
91,-0.1415999948450112,-0.04589158643367806,2.489356898005256E-20,12441.753461236778,-38973.116315598585,230176.1409759902
92,-0.14159999393530734,-0.04516657227491536,3.708301538355772E-20,-23849.739763842943,-15096.017997634042,283937.35577771027
93,-0.14159999302560342,-0.04444155811615266,1.4243242363710404E-20,19883.938444882133,-2723.1794981040084,175695.15633549396
94,-0.14159999211589955,-0.04371654395738997,7.547501369378926E-20,-69608.7534475414,7681.496391493548,401003.32076511486
95,-0.1415999912061956,-0.042991529798627276,2.926354198144449E-20,-20557.439457606528,35096.02559911355,250189.62960159278
96,-0.14159999029649173,-0.042266515639864576,3.1839667966468825E-20,23779.381116155593,20297.04032588584,262540.9262499556
97,-0.1415999893867878,-0.04154150148110188,2.7271350301973184E-21,-389.7047244439429,3064.666669663728,77317.42894832842
